birth	death	KOREA	VIETNAM	WORLD WAR II	noWarSpecified	PERSIAN GULF	WORLD WAR I	IRAQ	PANAMA	SPANISH AMERICAN WAR	GRENADA	LEBANON	AFGHANISTAN	CIVIL WAR
2006	2007			3										
1909	1980			3										
1905	1980				1									
1924	1997			2										
1923	2002			1										
1938	1974				1									
2007	2064			1										
1898	1990						1							
1931	1989				1									
1914	1983			1										
1897	1970				1		1							
1914	1979			1										
1931	1977	1												
1948	1988		1											
1920	1989			1										
1918	1993			2										
1913	1992			1										
1905	1987			1										
1920	1973	1		1										
1894	1979						1							
1921	1990				1									
1896	1961						2							
1918	1973			1										
1958	1979				1									
1956	1978				1									
1919	1991			1										
1957	2006		1			1								
1923	1987			1										
1941	1984		1											
1911	1990			1										
1922	1999			1										
1923	1997				1									
1935	2010	1	1											
2020	2022			1										
1921	1995			1										
1898	1955			1			1							
1941	2006		3											
1935	1984	1												
1959	2006				2									
1895	1961						1							
1897	1974			1			2							
1896	1972						1							
1915	1992			1										
1910	2006			1										
1930	1990	1			1									
1916	1995			1										
2018	2047				1									
1919	2002			1										
1928	1996	1		1										
1971	2009					1								
1924	1996			4										
1922	1998			2										
1961	1983				1									
1945	2003				1									
1931	1973	1												
1928	1995			1	1									
1914	1992			1										
1935	1985	1	1											
1915	1989			1										
1942	1999		1											
1926	1993			1										
1989	2007							1						
1948	1980		1											
1925	1999			1										
1924	1977			1										
1940	2005				1									
1973	2007					1								
1934	1996				1									
1915	1998			1										
1905	1997			1										
1929	2001			1										
1940	1996		1											
1947	1995		1											
1933	1997	1												
1919	1999	1		3										
1910	1997			1										
1963	1989				1									
1931	2004	1												
1922	2000			1										
1926	1989			1										
1974	2008				1									
1921	2000			2										
1927	2002			1										
1970	2009					1								
1900	1961				1									
1919	1996			1										
1937	2000	1												
1946	2005		1											
1892	1960				1									
1854	1945									1				
1936	1990	1												
1921	2005			1										
1935	2005	1												
1923	1990				1									
1961	2008					2								
1899	1959				1									
1916	1996			1										
1927	2001			1										
1897	1967			1			1							
1895	1971						1							
1973	2009					1								
1914	1973			1										
1911	1981			1										
1909	1998	1		1										
1932	1999	1												
1975	2007							1						
1929	2004	1	1	1										
1959	1983			1										
1932	1986	1												
1977	2007					1								
1918	1974			1										
1915	1976			1										
2024	2044			1										
1887	1976						1							
1893	1942						1							
1928	1985			1										
1953	1993		1											
1930	2002	1												
1913	1996			1										
1941	2004				1									
1968	2008				1	2			1					
1939	1991		1											
1889	1959						1							
1943	1992		1											
1917	1983			1										
1919	2000			1										
1895	1983						1							
1940	1972		1											
1946	1982		1											
1929	1982			1										
1920	1981			1										
1906	1981			1										
1954	1979		1											
1927	1982			1										
1915	1973	1		1										
1923	1981			1										
1919	1986				1									
1921	1988			1										
1941	1993		1											
1900	1981						1							
1890	1947						1							
2024	2061			1										
1921	1981	1		1										
1905	1981			1										
1888	1969						1							
1910	1980			1										
1914	1975			1										
1910	1990			1										
1951	1981		1											
1898	1967						1							
1923	1982	1												
1908	1990			1										
1936	1973	1												
1924	2004			1										
1898	1971						1							
2019	2063			1										
1923	1973			1										
1922	1985			1										
1879	1972									1				
1926	1973			1										
1941	1983				1									
1931	1982	1												
1880	1962									1				
1920	1971			1										
1894	1971						1							
1914	1985	1												
2025	2051	1												
1915	1980			1										
1895	1972						1							
1931	1972	1												
1897	1983						1							
2029	2064	1												
2018	2067			1										
1927	1974			1										
1918	2003			1										
2049	2068		1											
1893	1973						1							
1926	1974	1												
1908	1993			1										
2028	2067	1												
1880	1949									1				
1912	1973			1										
1946	1977				1									
1938	2004				1									
1919	1977			1										
1918	1983			1										
1940	2004				1									
1909	1995			1										
1897	1992						1							
1928	1990	1	1	1										
1909	1989			1										
1899	1970						1							
1894	1962						1							
1936	1997	1												
1918	1990			2										
1917	1985				1									
1919	1990			1										
2004	2008			1										
2012	2067				1									
1930	1988				1									
1932	2002	1												
2003	2064			1			1							
2020	2066			1										
1946	1970		1											
1911	1978				1									
1892	1968						1							
1922	1976		1		1									
1912	1972			1										
2026	2067			1										
1944	1993				1									
1892	1970						1							
1907	1981			1										
2005	2065			1										
1894	1965						1							
1904	1971			1			1							
1925	1970			1										
2020	2070			1										
1898	1970						1							
2034	2068				1									
1903	1970						1							
2034	2057	1												
1879	1953									1				
1895	1978			1			1							
2026	2066	1		1										
1909	1971			1										
1937	1977				1									
1923	1984			1										
1931	1979				1									
1949	1983		1											
1884	1973						1							
2050	2068		1											
1908	1971			1										
1890	1975						1							
1888	1956						1							
2013	2067		1											
1923	1976				1									
2023	2068				1									
1903	1978			1										
1902	1987			1										
1924	1990			2										
1941	1987		1											
1908	1992			1										
1889	1965						1							
1912	1999			1										
1927	1996	1		1										
1918	1992			1										
2012	2066			1										
1949	2005		1											
1946	2000		1											
1920	1970			1										
1913	1986	1		1										
1900	1972						1							
2004	2054				1									
1921	1984			1										
1941	1970				1									
1893	1962						1							
1901	1976				1									
1887	1968						1							
2024	2058			1										
1897	1964						1							
2025	2066	1	1	1										
1945	1985		1											
1891	1974						1							
2024	2068			1										
1917	1987				1									
1919	1988			1										
1920	1979	1	1	1										
2014	2063				1									
1908	1983			1										
1876	1964									1				
1887	1962						1							
1906	1973				1									
1920	1991			1										
2013	2062			1										
1912	1986			1										
1913	1976			1										
2016	2046				1									
1937	1996	1	1											
1918	1999			1										
1965	2008					1								
1896	1968						1							
1907	1970			1										
1925	2003			1										
1898	1975			1										
1922	1997			1										
1918	1969			1										
1928	1986			1										
1928	2001	1		1										
1889	1956						1							
1974	2007					1								
1936	1994	1												
1916	1999	1		1										
1898	1966						1							
1959	1995				1									
1910	2008	1		1										
1927	1976	1	1	1										
1970	2006					1								
1941	2003		1											
1945	1995		1											
1936	1993	1												
1931	1997	1												
1907	1993			1										
